Date,Symbol,Close
2024-04-10,MMM,92.62999725341797
2024-04-11,MMM,93.18000030517578
2024-04-12,MMM,91.30999755859375
2024-04-15,MMM,91.30000305175781
2024-04-16,MMM,91.05000305175781
2024-04-17,MMM,90.95999908447266
2024-04-18,MMM,91.4800033569336
2024-04-19,MMM,92.2699966430664
2024-04-22,MMM,92.62000274658203
2024-04-23,MMM,93.0
2024-04-24,MMM,92.0199966430664
2024-04-25,MMM,91.41000366210938
2024-04-26,MMM,91.83000183105469
2024-04-29,MMM,92.16000366210938
2024-04-30,MMM,96.51000213623047
2024-05-01,MMM,98.44000244140625
2024-05-02,MMM,96.80999755859375
2024-05-03,MMM,97.1500015258789
2024-05-06,MMM,96.58999633789062
2024-05-07,MMM,95.54000091552734
2024-05-08,MMM,96.3499984741211
2024-05-09,MMM,97.33000183105469
2024-05-10,MMM,98.93000030517578
2024-05-13,MMM,99.62999725341797
2024-05-14,MMM,100.08000183105469
2024-05-15,MMM,101.23999786376953
2024-05-16,MMM,104.86000061035156
2024-05-17,MMM,105.26000213623047
2024-05-20,MMM,105.20999908447266
2024-05-21,MMM,103.13999938964844
2024-05-22,MMM,101.48999786376953
2024-05-23,MMM,99.51000213623047
2024-05-24,MMM,99.66999816894531
2024-05-28,MMM,98.68000030517578
2024-05-29,MMM,97.55999755859375
2024-05-30,MMM,98.19999694824219
2024-05-31,MMM,100.13999938964844
2024-06-03,MMM,99.76000213623047
2024-06-04,MMM,98.61000061035156
2024-06-05,MMM,99.05999755859375
2024-06-06,MMM,98.22000122070312
2024-06-07,MMM,100.86000061035156
2024-06-10,MMM,100.66000366210938
2024-06-11,MMM,101.31999969482422
2024-06-12,MMM,101.20999908447266
2024-06-13,MMM,101.54000091552734
2024-06-14,MMM,100.9000015258789
2024-06-17,MMM,100.52999877929688
2024-06-18,MMM,100.7699966430664
2024-06-20,MMM,101.66000366210938
2024-06-21,MMM,102.38999938964844
2024-06-24,MMM,102.98999786376953
2024-06-25,MMM,102.05000305175781
2024-06-26,MMM,101.44999694824219
2024-06-27,MMM,103.16999816894531
2024-06-28,MMM,102.19000244140625
2024-07-01,MMM,100.61000061035156
2024-07-02,MMM,101.62000274658203
2024-07-03,MMM,101.62000274658203
2024-07-05,MMM,101.31999969482422
2024-07-08,MMM,101.0999984741211
2024-07-09,MMM,99.69000244140625
2024-04-10,AOS,85.52999877929688
2024-04-11,AOS,86.1500015258789
2024-04-12,AOS,86.5
